# GLIDER Experiment Data,,,,
# Experiment Name,Untitled Experiment,,,
# Start Time,2025-12-30T12:03:35.926117,,,
# Sample Interval (s),0.1,,,
,,,,
# Boards,,,,
#,Arduino,telemetrix,Connected,
,,,,
# Devices,,,,
#,led_1,DigitalOutput,board=Arduino,output=13
#,input,AnalogInput,board=Arduino,input=0
,,,,
timestamp,elapsed_ms,led_1:DigitalOutput,input:AnalogInput,
2025-12-30T12:03:35.929,3.5,0,0,
2025-12-30T12:03:36.048,122.8,0,0,
2025-12-30T12:03:36.153,227.3,0,0,
2025-12-30T12:03:36.264,338.7,0,0,
2025-12-30T12:03:36.377,451.5,0,0,
2025-12-30T12:03:36.485,559.6,0,0,
2025-12-30T12:03:36.587,661.2,0,0,
2025-12-30T12:03:36.699,773.4,0,0,
2025-12-30T12:03:36.815,889.5,0,0,
2025-12-30T12:03:36.927,1001.4,0,0,
2025-12-30T12:03:37.036,1110.5,0,0,
2025-12-30T12:03:37.133,1207.3,0,0,
2025-12-30T12:03:37.248,1322.5,0,0,
2025-12-30T12:03:37.359,1433,0,0,
2025-12-30T12:03:37.470,1544.1,0,0,
2025-12-30T12:03:37.581,1655.6,0,0,
2025-12-30T12:03:37.694,1768,0,0,
2025-12-30T12:03:37.788,1862.7,0,0,
2025-12-30T12:03:37.897,1971.8,0,0,
2025-12-30T12:03:38.018,2091.9,0,0,
2025-12-30T12:03:38.122,2196.6,0,0,
2025-12-30T12:03:38.236,2310.9,0,0,
2025-12-30T12:03:38.345,2419.3,0,0,
2025-12-30T12:03:38.455,2529.2,0,0,
2025-12-30T12:03:38.557,2631.8,0,0,
2025-12-30T12:03:38.675,2749.5,0,0,
2025-12-30T12:03:38.786,2860.4,0,0,
2025-12-30T12:03:38.897,2971.5,0,0,
2025-12-30T12:03:38.991,3065.8,0,0,
2025-12-30T12:03:39.102,3176.8,0,0,
2025-12-30T12:03:39.213,3287.6,0,0,
2025-12-30T12:03:39.325,3399.4,0,0,
2025-12-30T12:03:39.438,3512.4,0,0,
2025-12-30T12:03:39.547,3621.1,0,0,
2025-12-30T12:03:39.658,3732.8,0,0,
2025-12-30T12:03:39.762,3836.1,0,0,
2025-12-30T12:03:39.878,3952.3,0,0,
2025-12-30T12:03:39.988,4062.7,0,0,
2025-12-30T12:03:40.099,4173.6,0,0,
2025-12-30T12:03:40.196,4270.5,0,0,
2025-12-30T12:03:40.309,4383.8,0,0,
2025-12-30T12:03:40.425,4498.9,0,0,
2025-12-30T12:03:40.527,4601.3,0,0,
2025-12-30T12:03:40.636,4710.3,0,0,
2025-12-30T12:03:40.752,4826.2,0,0,
2025-12-30T12:03:40.854,4928.9,0,0,
2025-12-30T12:03:40.970,5044.5,0,0,
2025-12-30T12:03:41.073,5147.1,0,0,
2025-12-30T12:03:41.180,5254.6,0,0,
2025-12-30T12:03:41.291,5365.9,0,0,
2025-12-30T12:03:41.402,5476.5,0,0,
2025-12-30T12:03:41.513,5587.6,0,0,
2025-12-30T12:03:41.624,5698.5,0,0,
2025-12-30T12:03:41.735,5809.2,0,0,
2025-12-30T12:03:41.846,5920,0,0,
2025-12-30T12:03:41.959,6032.9,0,0,
2025-12-30T12:03:42.068,6142.2,0,0,
2025-12-30T12:03:42.164,6238,0,0,
2025-12-30T12:03:42.285,6359.4,0,0,
2025-12-30T12:03:42.383,6457.7,0,0,
2025-12-30T12:03:42.495,6569.3,0,0,
2025-12-30T12:03:42.607,6681,0,0,
2025-12-30T12:03:42.718,6791.9,0,0,
2025-12-30T12:03:42.829,6903.4,0,0,
2025-12-30T12:03:42.941,7015,0,0,
2025-12-30T12:03:43.050,7124.6,0,0,
2025-12-30T12:03:43.162,7236.4,0,0,
2025-12-30T12:03:43.272,7346.6,0,0,
2025-12-30T12:03:43.368,7442,0,0,
2025-12-30T12:03:43.478,7552.3,0,0,
